Year,Trt,TrtO,Season,Drainage,Nitrate load,Flow-weighted nitrate-N concentration
2013,CP-SP-150-C,CPP-150,3,0,0,
2013,CP-SP-150-S,CPP-150,3,0.161129472,0.33860902,21.01471665
2013,CP-SP-150-S,CPP-150,3,0.286658304,0.315381426,11.00199859
2013,CP-SPPOLY-150-S,CPPPOLY-150,3,0,0,
2013,CP-SPPOLY-150-S,CPPPOLY-150,3,0.269784576,0.343643288,12.73769217
2013,CP-SPPOLY-150-C,CPPPOLY-150,3,0.409846272,0.609408049,14.86918611
2013,CP-SPPOLY-150-C,CPPPOLY-150,3,0.009948672,0.019465343,19.56577043
2013,CP-SPPOLY-150-C,CPPPOLY-150,3,0,0,
2013,CP-SPPOLY-150-S,CPPPOLY-150,3,0,0,
2013,CP-SPPOLY-150-S,CPPPOLY-150,3,0.139671552,0.242851882,17.38735472
2013,CP-SPPOLY-150-C,CPPPOLY-150,3,0.069153024,0.140831441,20.36518904
2014,CP-SPUREA-150-C,CPPUREA-150,3,9.934724352,24.10128506,24.25964144
2014,CP-SPUREA-150-S,CPPUREA-150,3,10.34496077,13.68146273,13.22524371
2014,CP-SPUREA-150-S,CPPUREA-150,3,8.640920149,15.43136105,17.85846968
2014,CP-SPUREA-150-C,CPPUREA-150,3,3.421465344,9.768826598,28.55158716
2014,CP-SPUREA-150-C,CPPUREA-150,3,11.25536179,31.9460987,28.38300473
2014,CP-SPUREA-150-C,CPPUREA-150,3,6.23547648,17.13502793,27.47990148
2014,CP-SPUREA-150-S,CPPUREA-150,3,5.973787392,9.759050408,16.33645419
2014,CP-SPUREA-150-S,CPPUREA-150,3,7.983429973,14.68807351,18.39819922
2014,CP-SP-150-S,CPP-150,3,7.672875349,11.51016828,15.00111465
2014,CP-SP-150-C,CPP-150,3,11.25116774,17.20770124,15.29414691
2014,CP-SP-150-S,CPP-150,3,7.177490005,11.90951629,16.5928706
2014,CP-SP-150-C,CPP-150,3,13.27201613,28.29567735,21.31980332
2014,CP-SP-150-S,CPP-150,3,7.156118784,13.71275152,19.16227488
2014,CP-SP-150-S,CPP-150,3,8.162202624,17.973241,22.02008677
2014,CP-SP-150-C,CPP-150,3,9.81260928,18.84144486,19.20125863
2014,CP-SP-150-C,CPP-150,3,9.255093504,13.10847935,14.16352989
2014,CP-SPPOLY-150-C,CPPPOLY-150,3,6.548274432,11.65099857,17.79247142
2014,CP-SPPOLY-150-S,CPPPOLY-150,3,9.587116885,10.59761771,11.05401951
